,video_id,time,event,event_attributes
55,1606b0e6_0,307.41999999999996,end_challenge,['opponent_dispossessed']
63,1606b0e6_0,308.81106226519955,end,
64,1606b0e6_0,310.44619727203815,start,
56,1606b0e6_0,311.15500000000003,start_play,"['pass', 'openplay']"
57,1606b0e6_0,311.305,end_play,"['pass', 'openplay']"
58,1606b0e6_0,313.15500000000003,start_play,"['cross', 'openplay']"
59,1606b0e6_0,313.305,end_play,"['cross', 'openplay']"
67,1606b0e6_0,314.67738039865986,end,
68,1606b0e6_0,324.5363377130767,start,
60,1606b0e6_0,325.595,start_play,"['pass', 'openplay']"
61,1606b0e6_0,325.745,end_play,"['pass', 'openplay']"
62,1606b0e6_0,328.75500000000005,start_play,"['pass', 'openplay']"
63,1606b0e6_0,328.90500000000003,end_play,"['pass', 'openplay']"
71,1606b0e6_0,329.26194266074185,end,
72,1606b0e6_0,355.179980345029,start,
64,1606b0e6_0,356.15500000000003,start_play,"['pass', 'freekick']"
65,1606b0e6_0,356.305,end_play,"['pass', 'freekick']"
74,1606b0e6_0,357.679980345029,end,
75,1606b0e6_0,360.33056272862814,start,
66,1606b0e6_0,361.315,start_play,"['cross', 'openplay']"
67,1606b0e6_0,361.465,end_play,"['cross', 'openplay']"
77,1606b0e6_0,362.83056272862814,end,
78,1606b0e6_0,394.9967735987499,start,
68,1606b0e6_0,395.40000000000003,start_challenge,['ball_action_forced']
69,1606b0e6_0,395.7,end_challenge,['ball_action_forced']
80,1606b0e6_0,397.4967735987499,end,
81,1606b0e6_0,398.3343717334749,start,
70,1606b0e6_0,398.755,start_play,"['pass', 'openplay']"
71,1606b0e6_0,398.905,end_play,"['pass', 'openplay']"
83,1606b0e6_0,400.8343717334749,end,
84,1606b0e6_0,401.0890945084759,start,
72,1606b0e6_0,401.955,start_play,"['pass', 'openplay']"
73,1606b0e6_0,402.10499999999996,end_play,"['pass', 'openplay']"
86,1606b0e6_0,403.5890945084759,end,
87,1606b0e6_0,405.7011634309755,start,
74,1606b0e6_0,407.11500000000007,start_play,"['pass', 'openplay']"
75,1606b0e6_0,407.26500000000004,end_play,"['pass', 'openplay']"
89,1606b0e6_0,408.2011634309755,end,
90,1606b0e6_0,408.7529543214589,start,
76,1606b0e6_0,410.035,start_play,"['pass', 'openplay']"
77,1606b0e6_0,410.185,end_play,"['pass', 'openplay']"
92,1606b0e6_0,411.2529543214589,end,
93,1606b0e6_0,413.1959730330764,start,
78,1606b0e6_0,414.035,start_play,"['pass', 'openplay']"
79,1606b0e6_0,414.185,end_play,"['pass', 'openplay']"
80,1606b0e6_0,417.44,start_challenge,['opponent_dispossessed']
81,1606b0e6_0,417.73999999999995,end_challenge,['opponent_dispossessed']
96,1606b0e6_0,418.0923833017698,end,
97,1606b0e6_0,418.923473401624,start,
82,1606b0e6_0,419.64000000000004,start_challenge,['opponent_dispossessed']
83,1606b0e6_0,419.94,end_challenge,['opponent_dispossessed']
99,1606b0e6_0,421.423473401624,end,
100,1606b0e6_0,426.71008437835087,start,
84,1606b0e6_0,427.595,start_throwin,['pass']
85,1606b0e6_0,427.745,end_throwin,['pass']
86,1606b0e6_0,430.635,start_play,"['pass', 'openplay']"
87,1606b0e6_0,430.78499999999997,end_play,"['pass', 'openplay']"
103,1606b0e6_0,431.4676503538256,end,
104,1606b0e6_0,438.5891747060133,start,
88,1606b0e6_0,440.39500000000004,start_play,"['pass', 'openplay']"
89,1606b0e6_0,440.545,end_play,"['pass', 'openplay']"
106,1606b0e6_0,441.0891747060133,end,
107,1606b0e6_0,441.1728112168872,start,
90,1606b0e6_0,442.08000000000004,start_challenge,['ball_action_forced']
91,1606b0e6_0,442.38,end_challenge,['ball_action_forced']
109,1606b0e6_0,443.6728112168872,end,
110,1606b0e6_0,444.9483083106025,start,
92,1606b0e6_0,446.3550000000001,start_play,"['pass', 'openplay']"
93,1606b0e6_0,446.50500000000005,end_play,"['pass', 'openplay']"
112,1606b0e6_0,447.4483083106025,end,
113,1606b0e6_0,451.3793345097104,start,
94,1606b0e6_0,452.435,start_play,"['pass', 'openplay']"
95,1606b0e6_0,452.585,end_play,"['pass', 'openplay']"
96,1606b0e6_0,454.5950000000001,start_play,"['pass', 'openplay']"
97,1606b0e6_0,454.74500000000006,end_play,"['pass', 'openplay']"
98,1606b0e6_0,456.195,start_play,"['pass', 'openplay']"
99,1606b0e6_0,456.34499999999997,end_play,"['pass', 'openplay']"
117,1606b0e6_0,458.36069907044737,end,
118,1606b0e6_0,472.46347617827166,start,
100,1606b0e6_0,474.315,start_throwin,['cross']
101,1606b0e6_0,474.465,end_throwin,['cross']
120,1606b0e6_0,474.96347617827166,end,
121,1606b0e6_0,477.0050904853613,start,
102,1606b0e6_0,478.675,start_play,"['pass', 'openplay']"
103,1606b0e6_0,478.825,end_play,"['pass', 'openplay']"
104,1606b0e6_0,480.755,start_play,"['pass', 'openplay']"
105,1606b0e6_0,480.905,end_play,"['pass', 'openplay']"
106,1606b0e6_0,482.4750000000001,start_play,"['pass', 'openplay']"
107,1606b0e6_0,482.62500000000006,end_play,"['pass', 'openplay']"
125,1606b0e6_0,484.33085965942826,end,
126,1606b0e6_0,491.8005957243177,start,
108,1606b0e6_0,493.39500000000004,start_play,"['pass', 'openplay']"
109,1606b0e6_0,493.545,end_play,"['pass', 'openplay']"
128,1606b0e6_0,494.3005957243177,end,
129,1606b0e6_0,496.5097864637138,start,
110,1606b0e6_0,497.08000000000004,start_challenge,['fouled']
111,1606b0e6_0,497.38,end_challenge,['fouled']
131,1606b0e6_0,499.0097864637138,end,
132,1606b0e6_0,521.1602482921974,start,
112,1606b0e6_0,522.915,start_play,"['pass', 'openplay']"
113,1606b0e6_0,523.065,end_play,"['pass', 'openplay']"
114,1606b0e6_0,524.835,start_play,"['pass', 'openplay']"
115,1606b0e6_0,524.9850000000001,end_play,"['pass', 'openplay']"
135,1606b0e6_0,526.0136201581041,end,
136,1606b0e6_0,529.3657603020911,start,
116,1606b0e6_0,530.275,start_play,"['pass', 'openplay']"
117,1606b0e6_0,530.4250000000001,end_play,"['pass', 'openplay']"
138,1606b0e6_0,531.8657603020911,end,
139,1606b0e6_0,539.4449110172926,start,
118,1606b0e6_0,541.235,start_play,"['pass', 'openplay']"
119,1606b0e6_0,541.3850000000001,end_play,"['pass', 'openplay']"
141,1606b0e6_0,541.9449110172926,end,
142,1606b0e6_0,542.1041900148562,start,
120,1606b0e6_0,543.795,start_play,"['pass', 'openplay']"
121,1606b0e6_0,543.945,end_play,"['pass', 'openplay']"
144,1606b0e6_0,544.6041900148562,end,
145,1606b0e6_0,544.7272192116196,start,
122,1606b0e6_0,545.835,start_play,"['pass', 'openplay']"
123,1606b0e6_0,545.9850000000001,end_play,"['pass', 'openplay']"
147,1606b0e6_0,547.2272192116196,end,
148,1606b0e6_0,551.0393331737297,start,
124,1606b0e6_0,552.1949999999999,start_play,"['pass', 'openplay']"
125,1606b0e6_0,552.345,end_play,"['pass', 'openplay']"
150,1606b0e6_0,553.5393331737297,end,
151,1606b0e6_0,553.8431228704984,start,
126,1606b0e6_0,554.395,start_play,"['pass', 'openplay']"
127,1606b0e6_0,554.5450000000001,end_play,"['pass', 'openplay']"
128,1606b0e6_0,556.635,start_play,"['cross', 'openplay']"
129,1606b0e6_0,556.7850000000001,end_play,"['cross', 'openplay']"
154,1606b0e6_0,557.5083817073673,end,
155,1606b0e6_0,586.5899810905229,start,
130,1606b0e6_0,586.955,start_play,"['pass', 'openplay']"
131,1606b0e6_0,587.1050000000001,end_play,"['pass', 'openplay']"
157,1606b0e6_0,589.0899810905229,end,
158,1606b0e6_0,593.4467070428011,start,
132,1606b0e6_0,594.6,start_challenge,['opponent_dispossessed']
133,1606b0e6_0,594.9,end_challenge,['opponent_dispossessed']
160,1606b0e6_0,595.9467070428011,end,
161,1606b0e6_0,620.6704938499237,start,
134,1606b0e6_0,621.035,start_throwin,['cross']
135,1606b0e6_0,621.1850000000001,end_throwin,['cross']
136,1606b0e6_0,622.96,start_challenge,['ball_action_forced']
137,1606b0e6_0,623.26,end_challenge,['ball_action_forced']
164,1606b0e6_0,624.7358146236941,end,
165,1606b0e6_0,625.0667480849771,start,
138,1606b0e6_0,625.835,start_play,"['pass', 'openplay']"
139,1606b0e6_0,625.9850000000001,end_play,"['pass', 'openplay']"
140,1606b0e6_0,628.075,start_play,"['pass', 'openplay']"
141,1606b0e6_0,628.2250000000001,end_play,"['pass', 'openplay']"
168,1606b0e6_0,628.8664304208463,end,
169,1606b0e6_0,628.9233051906009,start,
142,1606b0e6_0,630.1949999999999,start_play,"['pass', 'openplay']"
143,1606b0e6_0,630.345,end_play,"['pass', 'openplay']"
171,1606b0e6_0,631.4233051906009,end,
172,1606b0e6_0,635.9343341540624,start,
144,1606b0e6_0,637.755,start_play,"['pass', 'openplay']"
145,1606b0e6_0,637.9050000000001,end_play,"['pass', 'openplay']"
174,1606b0e6_0,638.4343341540624,end,
175,1606b0e6_0,663.9134383357876,start,
146,1606b0e6_0,665.435,start_play,"['pass', 'openplay']"
147,1606b0e6_0,665.585,end_play,"['pass', 'openplay']"
177,1606b0e6_0,666.4134383357876,end,
178,1606b0e6_0,669.4460537598546,start,
148,1606b0e6_0,670.835,start_play,"['cross', 'openplay']"
149,1606b0e6_0,670.9850000000001,end_play,"['cross', 'openplay']"
180,1606b0e6_0,671.9460537598546,end,
181,1606b0e6_0,678.194247090675,start,
150,1606b0e6_0,679.44,start_challenge,['opponent_rounded']
151,1606b0e6_0,679.74,end_challenge,['opponent_rounded']
183,1606b0e6_0,680.694247090675,end,
184,1606b0e6_0,681.639050743793,start,
152,1606b0e6_0,683.555,start_play,"['pass', 'openplay']"
153,1606b0e6_0,683.705,end_play,"['pass', 'openplay']"
186,1606b0e6_0,684.139050743793,end,
187,1606b0e6_0,686.0672026029291,start,
154,1606b0e6_0,686.915,start_play,"['pass', 'openplay']"
155,1606b0e6_0,687.065,end_play,"['pass', 'openplay']"
189,1606b0e6_0,688.5672026029291,end,
190,1606b0e6_0,690.4132224721512,start,
156,1606b0e6_0,691.4000000000001,start_challenge,['opponent_rounded']
157,1606b0e6_0,691.7,end_challenge,['opponent_rounded']
158,1606b0e6_0,694.2800000000001,start_challenge,['opponent_dispossessed']
159,1606b0e6_0,694.58,end_challenge,['opponent_dispossessed']
193,1606b0e6_0,695.281162134597,end,
194,1606b0e6_0,696.2195216908934,start,
160,1606b0e6_0,697.355,start_play,"['pass', 'openplay']"
161,1606b0e6_0,697.5050000000001,end_play,"['pass', 'openplay']"
162,1606b0e6_0,699.475,start_play,"['pass', 'openplay']"
163,1606b0e6_0,699.6250000000001,end_play,"['pass', 'openplay']"
197,1606b0e6_0,700.4540014742012,end,
198,1606b0e6_0,700.8254386732455,start,
164,1606b0e6_0,701.795,start_play,"['pass', 'openplay']"
165,1606b0e6_0,701.945,end_play,"['pass', 'openplay']"
200,1606b0e6_0,703.3254386732455,end,
201,1606b0e6_0,703.7197020682189,start,
166,1606b0e6_0,704.155,start_play,"['pass', 'openplay']"
167,1606b0e6_0,704.3050000000001,end_play,"['pass', 'openplay']"
203,1606b0e6_0,706.2197020682189,end,
204,1606b0e6_0,718.2245976459383,start,
168,1606b0e6_0,719.115,start_play,"['pass', 'openplay']"
169,1606b0e6_0,719.2650000000001,end_play,"['pass', 'openplay']"
206,1606b0e6_0,720.7245976459383,end,
207,1606b0e6_0,722.3540563660874,start,
170,1606b0e6_0,724.155,start_play,"['pass', 'openplay']"
171,1606b0e6_0,724.3050000000001,end_play,"['pass', 'openplay']"
209,1606b0e6_0,724.8540563660874,end,
210,1606b0e6_0,727.1877562470016,start,
172,1606b0e6_0,727.995,start_play,"['pass', 'openplay']"
173,1606b0e6_0,728.1450000000001,end_play,"['pass', 'openplay']"
212,1606b0e6_0,729.6877562470016,end,
213,1606b0e6_0,729.9419903580103,start,
174,1606b0e6_0,731.475,start_play,"['pass', 'openplay']"
175,1606b0e6_0,731.6250000000001,end_play,"['pass', 'openplay']"
215,1606b0e6_0,732.4419903580103,end,
216,1606b0e6_0,737.7112083985663,start,
176,1606b0e6_0,738.6800000000001,start_challenge,['fouled']
177,1606b0e6_0,738.98,end_challenge,['fouled']
218,1606b0e6_0,740.2112083985663,end,
219,1606b0e6_0,756.9670719891772,start,
178,1606b0e6_0,757.995,start_play,"['pass', 'freekick']"
179,1606b0e6_0,758.1450000000001,end_play,"['pass', 'freekick']"
221,1606b0e6_0,759.4670719891772,end,
222,1606b0e6_0,760.1156301129326,start,
180,1606b0e6_0,760.715,start_play,"['pass', 'openplay']"
181,1606b0e6_0,760.8650000000001,end_play,"['pass', 'openplay']"
224,1606b0e6_0,762.6156301129326,end,
225,1606b0e6_0,764.0191980496695,start,
182,1606b0e6_0,764.635,start_play,"['pass', 'openplay']"
183,1606b0e6_0,764.7850000000001,end_play,"['pass', 'openplay']"
227,1606b0e6_0,766.5191980496695,end,
228,1606b0e6_0,767.5379823095274,start,
184,1606b0e6_0,769.5550000000001,start_play,"['pass', 'openplay']"
185,1606b0e6_0,769.7050000000002,end_play,"['pass', 'openplay']"
230,1606b0e6_0,770.0379823095274,end,
231,1606b0e6_0,771.7622881125536,start,
186,1606b0e6_0,772.635,start_play,"['pass', 'openplay']"
187,1606b0e6_0,772.7850000000001,end_play,"['pass', 'openplay']"
233,1606b0e6_0,774.2622881125536,end,
234,1606b0e6_0,776.3090135544268,start,
188,1606b0e6_0,777.875,start_play,"['pass', 'openplay']"
189,1606b0e6_0,778.0250000000001,end_play,"['pass', 'openplay']"
236,1606b0e6_0,778.8090135544268,end,
237,1606b0e6_0,782.4198298376085,start,
190,1606b0e6_0,783.195,start_play,"['pass', 'openplay']"
191,1606b0e6_0,783.3450000000001,end_play,"['pass', 'openplay']"
239,1606b0e6_0,784.9198298376085,end,
240,1606b0e6_0,799.7657205266997,start,
192,1606b0e6_0,800.155,start_play,"['pass', 'openplay']"
193,1606b0e6_0,800.3050000000001,end_play,"['pass', 'openplay']"
242,1606b0e6_0,802.2657205266997,end,
243,1606b0e6_0,803.3396508801857,start,
194,1606b0e6_0,803.8000000000001,start_challenge,['ball_action_forced']
195,1606b0e6_0,804.1,end_challenge,['ball_action_forced']
245,1606b0e6_0,805.8396508801857,end,
246,1606b0e6_0,824.313585412784,start,
196,1606b0e6_0,825.275,start_play,"['pass', 'openplay']"
197,1606b0e6_0,825.4250000000001,end_play,"['pass', 'openplay']"
248,1606b0e6_0,826.813585412784,end,
249,1606b0e6_0,827.6628282398445,start,
198,1606b0e6_0,828.715,start_play,"['pass', 'openplay']"
199,1606b0e6_0,828.8650000000001,end_play,"['pass', 'openplay']"
251,1606b0e6_0,830.1628282398445,end,
252,1606b0e6_0,857.7780073469195,start,
200,1606b0e6_0,859.315,start_play,"['pass', 'openplay']"
201,1606b0e6_0,859.4650000000001,end_play,"['pass', 'openplay']"
254,1606b0e6_0,860.2780073469195,end,
255,1606b0e6_0,860.2854294859889,start,
202,1606b0e6_0,860.635,start_play,"['pass', 'openplay']"
203,1606b0e6_0,860.7850000000001,end_play,"['pass', 'openplay']"
257,1606b0e6_0,862.7854294859889,end,
258,1606b0e6_0,865.37011314365,start,
204,1606b0e6_0,866.635,start_play,"['pass', 'openplay']"
205,1606b0e6_0,866.7850000000001,end_play,"['pass', 'openplay']"
260,1606b0e6_0,867.87011314365,end,
261,1606b0e6_0,869.0888947432011,start,
206,1606b0e6_0,869.6750000000001,start_play,"['pass', 'openplay']"
207,1606b0e6_0,869.8250000000002,end_play,"['pass', 'openplay']"
263,1606b0e6_0,871.5888947432011,end,
264,1606b0e6_0,874.4791147680398,start,
208,1606b0e6_0,875.315,start_throwin,['pass']
209,1606b0e6_0,875.4650000000001,end_throwin,['pass']
266,1606b0e6_0,876.9791147680398,end,
267,1606b0e6_0,877.4613848682053,start,
210,1606b0e6_0,877.955,start_play,"['pass', 'openplay']"
211,1606b0e6_0,878.1050000000001,end_play,"['pass', 'openplay']"
269,1606b0e6_0,879.9613848682053,end,
270,1606b0e6_0,883.8334562934942,start,
212,1606b0e6_0,884.475,start_play,"['pass', 'openplay']"
213,1606b0e6_0,884.6250000000001,end_play,"['pass', 'openplay']"
272,1606b0e6_0,886.3334562934942,end,
273,1606b0e6_0,888.6157323836535,start,
214,1606b0e6_0,888.955,start_play,"['pass', 'openplay']"
215,1606b0e6_0,889.1050000000001,end_play,"['pass', 'openplay']"
275,1606b0e6_0,891.1157323836535,end,
276,1606b0e6_0,892.2381638834811,start,
216,1606b0e6_0,893.2750000000001,start_play,"['pass', 'openplay']"
217,1606b0e6_0,893.4250000000002,end_play,"['pass', 'openplay']"
278,1606b0e6_0,894.7381638834811,end,
279,1606b0e6_0,897.8301164268406,start,
218,1606b0e6_0,898.315,start_play,"['pass', 'openplay']"
219,1606b0e6_0,898.4650000000001,end_play,"['pass', 'openplay']"
281,1606b0e6_0,900.3301164268406,end,
282,1606b0e6_0,904.1022514492756,start,
220,1606b0e6_0,905.275,start_play,"['pass', 'openplay']"
221,1606b0e6_0,905.4250000000001,end_play,"['pass', 'openplay']"
222,1606b0e6_0,906.635,start_play,"['pass', 'openplay']"
223,1606b0e6_0,906.7850000000001,end_play,"['pass', 'openplay']"
285,1606b0e6_0,908.7854068354452,end,
286,1606b0e6_0,911.0247833386904,start,
224,1606b0e6_0,911.9549999999999,start_play,"['pass', 'openplay']"
225,1606b0e6_0,912.105,end_play,"['pass', 'openplay']"
226,1606b0e6_0,914.3549999999999,start_play,"['pass', 'openplay']"
227,1606b0e6_0,914.505,end_play,"['pass', 'openplay']"
289,1606b0e6_0,915.6081680776932,end,
290,1606b0e6_0,919.4008684640175,start,
228,1606b0e6_0,920.395,start_play,"['pass', 'openplay']"
229,1606b0e6_0,920.5450000000001,end_play,"['pass', 'openplay']"
230,1606b0e6_0,923.5949999999999,start_play,"['pass', 'openplay']"
231,1606b0e6_0,923.745,end_play,"['pass', 'openplay']"
293,1606b0e6_0,924.102628437126,end,
294,1606b0e6_0,926.7315748166748,start,
232,1606b0e6_0,927.755,start_play,"['pass', 'openplay']"
233,1606b0e6_0,927.9050000000001,end_play,"['pass', 'openplay']"
296,1606b0e6_0,929.2315748166748,end,
297,1606b0e6_0,930.4522950137376,start,
234,1606b0e6_0,931.3549999999999,start_play,"['pass', 'openplay']"
235,1606b0e6_0,931.505,end_play,"['pass', 'openplay']"
299,1606b0e6_0,932.9522950137376,end,
300,1606b0e6_0,932.9831319322578,start,
236,1606b0e6_0,934.515,start_play,"['pass', 'openplay']"
237,1606b0e6_0,934.6650000000001,end_play,"['pass', 'openplay']"
302,1606b0e6_0,935.4831319322578,end,
303,1606b0e6_0,941.060626229298,start,
238,1606b0e6_0,942.035,start_throwin,['pass']
239,1606b0e6_0,942.1850000000001,end_throwin,['pass']
240,1606b0e6_0,943.795,start_play,"['pass', 'openplay']"
241,1606b0e6_0,943.945,end_play,"['pass', 'openplay']"
306,1606b0e6_0,945.421617952908,end,
307,1606b0e6_0,948.2403059091782,start,
242,1606b0e6_0,950.035,start_play,"['pass', 'openplay']"
243,1606b0e6_0,950.1850000000001,end_play,"['pass', 'openplay']"
309,1606b0e6_0,950.7403059091782,end,
310,1606b0e6_0,962.2770799541254,start,
244,1606b0e6_0,963.795,start_throwin,['pass']
245,1606b0e6_0,963.945,end_throwin,['pass']
312,1606b0e6_0,964.7770799541254,end,
313,1606b0e6_0,965.3789403481924,start,
246,1606b0e6_0,966.435,start_play,"['pass', 'openplay']"
247,1606b0e6_0,966.585,end_play,"['pass', 'openplay']"
315,1606b0e6_0,967.8789403481924,end,
316,1606b0e6_0,970.134483694122,start,
248,1606b0e6_0,971.155,start_play,"['pass', 'openplay']"
249,1606b0e6_0,971.3050000000001,end_play,"['pass', 'openplay']"
318,1606b0e6_0,972.634483694122,end,
319,1606b0e6_0,974.1463529230444,start,
250,1606b0e6_0,975.1949999999999,start_play,"['pass', 'openplay']"
251,1606b0e6_0,975.345,end_play,"['pass', 'openplay']"
321,1606b0e6_0,976.6463529230444,end,
322,1606b0e6_0,977.4004413937572,start,
252,1606b0e6_0,978.3149999999999,start_play,"['pass', 'openplay']"
253,1606b0e6_0,978.465,end_play,"['pass', 'openplay']"
254,1606b0e6_0,980.035,start_play,"['pass', 'openplay']"
255,1606b0e6_0,980.1850000000001,end_play,"['pass', 'openplay']"
325,1606b0e6_0,981.8899350084016,end,
326,1606b0e6_0,983.023411340238,start,
256,1606b0e6_0,984.24,start_challenge,['opponent_dispossessed']
257,1606b0e6_0,984.54,end_challenge,['opponent_dispossessed']
328,1606b0e6_0,985.523411340238,end,
329,1606b0e6_0,987.1341292129468,start,
258,1606b0e6_0,987.635,start_throwin,['pass']
259,1606b0e6_0,987.7850000000001,end_throwin,['pass']
260,1606b0e6_0,990.48,start_challenge,['opponent_dispossessed']
261,1606b0e6_0,990.78,end_challenge,['opponent_dispossessed']
332,1606b0e6_0,991.6548551790816,end,
333,1606b0e6_0,996.1909703729516,start,
262,1606b0e6_0,997.4749999999999,start_throwin,['pass']
263,1606b0e6_0,997.625,end_throwin,['pass']
335,1606b0e6_0,998.6909703729516,end,
336,1606b0e6_0,999.305723499624,start,
264,1606b0e6_0,999.795,start_play,"['cross', 'openplay']"
265,1606b0e6_0,999.945,end_play,"['cross', 'openplay']"
266,1606b0e6_0,1000.875,start_play,"['pass', 'openplay']"
267,1606b0e6_0,1001.0250000000001,end_play,"['pass', 'openplay']"
339,1606b0e6_0,1002.995734316933,end,
340,1606b0e6_0,1003.6866105920186,start,
268,1606b0e6_0,1004.515,start_play,"['pass', 'openplay']"
269,1606b0e6_0,1004.6650000000001,end_play,"['pass', 'openplay']"
342,1606b0e6_0,1006.1866105920186,end,
343,1606b0e6_0,1031.420385708431,start,
270,1606b0e6_0,1033.2749999999999,start_play,"['cross', 'corner']"
271,1606b0e6_0,1033.425,end_play,"['cross', 'corner']"
345,1606b0e6_0,1033.920385708431,end,
346,1606b0e6_0,1036.533120443366,start,
272,1606b0e6_0,1036.995,start_play,"['pass', 'openplay']"
273,1606b0e6_0,1037.145,end_play,"['pass', 'openplay']"
274,1606b0e6_0,1038.475,start_play,"['pass', 'openplay']"
275,1606b0e6_0,1038.625,end_play,"['pass', 'openplay']"
349,1606b0e6_0,1040.4556840836933,end,
350,1606b0e6_0,1044.8280399111654,start,
276,1606b0e6_0,1045.155,start_play,"['pass', 'openplay']"
277,1606b0e6_0,1045.305,end_play,"['pass', 'openplay']"
278,1606b0e6_0,1048.435,start_play,"['pass', 'openplay']"
279,1606b0e6_0,1048.585,end_play,"['pass', 'openplay']"
